Enzyme,Type,PFA,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
COX,NE-F,aLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,NE-F,EPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,NE-F,DHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX,NE-F,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEH,NE-F (CYP METABOLITES),Total,0.0569720718153,0.555347326337,1.1951028543,0.181052234381,0.399027928177,0.228573155498,0.308394219841,0.037625034926,0.0559575659914,0.214388693761
SEH,NE-F (CYP METABOLITES),AA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SEH,NE-F (CYP METABOLITES),aLA,0.339492753623,0.836842105263,2.3968297349,4.05099150142,0.462769659012,0.50271963079,0.189655172414,0.0181577203446,0.194143167028,0.125804564073
SEH,NE-F (CYP METABOLITES),EPA,,,,,,,,,,
SEH,NE-F (CYP METABOLITES),DHA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
SEH,NE-F (CYP METABOLITES),LA,0.00614825581395,0.156446637878,0.560153994225,0.0352802893309,0.171332209106,0.01296,0.0965257429887,0.0122270531401,0.00704781172585,0.112177985948
LOX,To-PP,Total,0.761815551861,0.804735174649,0.735333735225,0.717525808091,0.795880396122,0.756527393593,0.757426053668,0.760711256914,0.822377069512,0.799559487512
LOX,To-PP,AA,0.461710312671,0.54712015944,0.467285378663,0.438615381966,0.539659933337,0.444143668198,0.524459330942,0.478013545359,0.526138057457,0.541360237078
LOX,To-PP,aLA,0.194293206111,0.279727001826,0.172247012201,0.147289504037,0.28990767416,0.196972111554,0.208088605471,0.187881231609,0.284056200367,0.222209329311
LOX,To-PP,EPA,0.518444666002,0.628281569814,0.53292528493,0.572051536174,0.709438131313,0.461548462589,0.662217846333,0.544380324265,0.611932687404,0.674821610601
LOX,To-PP,DHA,0.637361948447,0.732441471572,0.365930034893,0.296219342702,0.722337244076,0.628306377044,0.806591000749,0.493892540956,0.746181497294,0.631257501405
LOX,To-PP,LA,0.823029800739,0.859862629912,0.804507008472,0.796670493594,0.853333946081,0.813112977941,0.835098974766,0.829587569977,0.869438287078,0.860987477659
CYP ,To-PP,Total,0.21378683813,0.161998505305,0.237882019161,0.247306289258,0.160894623612,0.225998507657,0.190969621705,0.213213471975,0.155084025286,0.171289013461
