Oxylipin,Class,Parent FA,Enzyme ,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
5-HEPE-To-F,Alcohols,EPA,LOX,3.91,26.8,2.69,4.3,9.9,5.03,34.7,2.09,3.21,6.53
5-HEPE-To-PP,Alcohols,EPA,LOX,2.46,3.02,2.52,1.2,3.56,3.31,8.6,1.79,6.74,4.21
9-HEPE-NE-F,Alcohols,EPA,auto ,0.0519,0.293,0.104,0.0677,0.173,0.0757,0.234,0.138,0.0794,0.282
9-HEPE-NE-PP,Alcohols,EPA,auto ,0.152,0.178,0.0801,0.0813,0.126,0.0815,0.0686,0.0166,0.136,0.0906
9-HEPE-To-F,Alcohols,EPA,auto ,1.4,9.15,0.644,1.39,3,2.09,7.13,0.929,0.872,1.46
9-HEPE-To-PP,Alcohols,EPA,auto ,1.05,1.11,0.921,0.258,1.15,1.57,2.18,0.773,2.67,1.51
13-HODE-NE-F,Alcohols,LA,LOX,5.13,17.6,20,4.1,7.78,1.65,3.23,6.59,4.06,23.4
13-HODE-NE-PP,Alcohols,LA,LOX,9.15,14.9,33.5,23.3,4.21,5.45,11.3,12.6,18.3,22.3
13-HODE-To-F,Alcohols,LA,LOX,1440,6500,895,952,1500,882,1390,599,683,1730
13-HODE-To-PP,Alcohols,LA,LOX,915,782,1630,391,497,815,506,776,2100,1530
9-HODE-NE-F,Alcohols,LA,LOX,3.47,13.4,22.5,1.91,5.75,1.71,1.75,6.29,2.37,5.28
9-HODE-NE-PP,Alcohols,LA,LOX,15.2,21.1,59.3,7.03,3.64,14.7,10.1,17.1,27.9,19.8
9-HODE-To-F,Alcohols,LA,LOX,509,2040,293,325,533,333,456,217,264,576
9-HODE-To-PP,Alcohols,LA,LOX,420,408,757,205,195,326,296,325,771,619
15_16-DiHODE-NE-F,Diols,aLA,SEH,0.0937,3.18,8.77,0.143,0.931,0.305,0.715,0.274,0.179,0.215
15_16-DiHODE-NE-PP,Diols,aLA,SEH,3.32,3.22,10.5,2.09,0.405,2.73,3.49,4.76,3.37,4.64
15_16-DiHODE-To-F,Diols,aLA,SEH,0.271,3.7,2.04,0.725,4.76,0.927,4.52,1.24,0.554,0.94
15_16-DiHODE-To-PP,Diols,aLA,SEH,2.34,7.7,11.9,6.94,4.27,1.54,11.5,3.79,3.89,4.01
9_10-DiHODE-NE-PP,Diols,aLA,SEH,0.0151,0.212,1.05,0.044,0.0176,0.0834,0.137,0.228,0.221,0.197
9_10-DiHODE-To-F,Diols,aLA,SEH,0.0251,0.559,0.108,0.0824,0.7,0.122,0.573,0.0785,0.0781,0.214
9_10-DiHODE-To-PP,Diols,aLA,SEH,0.674,1.41,3.47,1.16,0.543,0.375,2.46,0.763,1.16,1.15
19_20-DiHDoPE-NE-F,Diols,DHA,SEH,0.0287,0.138,0.509,0.014,0.0267,0.023,0.0373,0.0334,0.0455,0.0238
19_20-DiHDoPE-NE-PP,Diols,DHA,SEH,0.0228,0.00373,0.0888,0.00839,0.00157,0.0219,0.0379,0.027,0.0676,0.0502
19_20-DiHDoPE-To-F,Diols,DHA,SEH,0.0481,0.212,0.0601,0.157,0.189,0.00902,0.314,0.0737,0.168,0.047
19_20-DiHDoPE-To-PP,Diols,DHA,SEH,0.0514,0,0.107,0.0331,0.135,0.0342,0.167,0.0361,0.159,0.0542
11_12-DiHETrE-NE-F,Diols,AA,SEH,0.035,0.127,0.237,0.0433,0.0243,0.00512,0.056,0.0266,0.0279,0.0399
11_12-DiHETrE-NE-PP,Diols,AA,SEH,0.0313,0.0166,0.0922,0.0103,0.000566,0.0333,,0.0369,0.0246,0.0244
11_12-DiHETrE-To-F,Diols,AA,SEH,0.226,0.951,0.318,0.235,1.14,0.125,1.18,0.242,0.187,0.877
11_12-DiHETrE-To-PP,Diols,AA,SEH,0.198,0.15,0.303,0.0509,0.262,0.0818,0.35,0.205,0.269,0.435
14_15-DiHETE-NE-F,Diols,AA,SEH,0.0217,0.376,0.451,0.0996,0.0373,0.00803,0.225,0.0107,0.0186,0.00903
14_15-DiHETE-To-F,Diols,AA,SEH,0.447,1.34,1.24,0.505,1.58,0.297,5.69,0.485,0.414,0.986
14_15-DiHETE-To-PP,Diols,AA,SEH,0.436,0.668,0.31,0.233,0.658,0.475,0.922,0.975,0.476,0.931
14_15-DiHETrE-NE-F,Diols,AA,SEH,0.00496,0.0445,0.225,0.00861,0.0308,0.012,0.0165,0.0164,0.00889,0.0146
14_15-DiHETrE-NE-PP,Diols,AA,SEH,0.0132,0.00547,0.0727,0.00153,0.00189,0.0203,0.0121,0.0318,0.0123,0.015
14_15-DiHETrE-To-F,Diols,AA,SEH,0.162,0.586,0.32,0.138,0.425,0.0784,0.449,0.134,0.0947,0.418
14_15-DiHETrE-To-PP,Diols,AA,SEH,0.0868,0.0983,0.172,0.0414,0.123,0.0718,0.137,0.111,0.148,0.231
5_15-DiHETE-To-F,Diols,EPA,SEH,0.36,2,0.284,0.114,0.477,0.282,0.413,0.204,0.372,0.441
5_15-DiHETE-To-PP,Diols,EPA,SEH,0.65,0.576,0.18,0.253,0.438,0.263,0.463,0.274,0.653,0.335
5_6-DiHETrE-NE-F,Diols,AA,SEH,0.484,3.96,0.65,0.363,1.07,0.12,0.468,0.66,0.178,0.419
5_6-DiHETrE-NE-PP,Diols,AA,SEH,0.222,0.198,0.239,0.0863,0.26,0.17,0.101,0.343,0.298,0.297
5_6-DiHETrE-To-F,Diols,AA,SEH,3.64,12,4.5,3,6.59,1.45,7.71,3.33,2.39,6.03
5_6-DiHETrE-To-PP,Diols,AA,SEH,2.71,2.26,3.15,1.31,2.97,1.57,2.14,2.93,4.21,4.05
8_9-DiHETrE-NE-F,Diols,AA,SEH,0.047,0.751,0.128,0.141,0.0329,0.0698,0.151,0.0724,0.186,0.0815
8_9-DiHETrE-NE-PP,Diols,AA,SEH,0.0627,0.00643,0.145,0.0564,0.274,0.0514,0.162,0.14,0.0558,0.114
8_9-DiHETrE-To-F,Diols,AA,SEH,1.35,6.27,3.24,1.63,3.38,1.09,3.57,2.07,1.89,3.41
8_9-DiHETrE-To-PP,Diols,AA,SEH,1.71,1.06,1.83,1.34,1.96,1.46,1.3,1.47,1.75,1.76
12_13-DiHOME-NE-F,Diols,LA,SEH,0.0846,1.61,2.71,0.148,0.691,0.0243,0.166,0.17,0.0852,0.365
12_13-DiHOME-NE-PP,Diols,LA,SEH,1.97,2.47,8.6,1.01,0.454,1.16,2.54,2.52,3.12,2.98
12_13-DiHOME-To-F,Diols,LA,SEH,0.742,7.02,1.5,0.965,9.15,0.689,2.31,0.972,0.873,2.81
12_13-DiHOME-To-PP,Diols,LA,SEH,5.02,9.62,19.5,6.76,3.71,2.31,13.9,4.79,7.23,8.8
