"Name","fa","grp"
"Per-C220","0.465554801095595","0.0927403801304525"
"89-EpETrE-To","0.308669141844952","0.910891398914299"
"9_10-DiHOME-NE","0.452842513675103","0.486120960575665"
"5-KETE-NE","0.371784862078918","0.17782575624688"
"Per-C150","0.000306987471194282","0.11352088302676"
"C181n9/C180-NEFA","0.910753811820774","0.644142077651721"
"12_13-DiHOME-NE","0.315377413344107","0.217927121786277"
"6-keto PGF1a-NE","0.783060209418773","0.863666890113668"
"9_10-e-DiHO-NE","0.049025028267666","0.290147514968884"
"9-HODE-NE","0.13189575871193","0.185522530713966"
"C184n3","0.981032624237192","0.773346668151557"
"Per--C180-NEFA","0.899615854312955","0.464230910299677"
"6-keto PGF1a-To","0.624398843222437","0.662139709622145"
"9_10-EpO-To","0.778918659068451","0.431376475882025"
"9-HOTE-NE","0.0494482441901535","0.0460939497079438"
"15_16-DiHODE-NE","0.592532838194196","0.344432772540933"
"11_12-DiHETrE-NE","0.914926105227674","0.866293956073134"
"10-Nitrooleate-NE","0.717729859986836","0.496328349958246"
"Sum-TriHOME-NE","0.0697968377425311","0.565429188861645"
"C225n3/C205n3","0.000823985880019288","0.0889949245987638"
"14_15-DiHETrE-NE","0.274407465008946","0.0967030369517826"
"9_10-e-DiHO-To","0.80163154738479","0.978001029269638"
"C210","0.276672597024187","0.23553442444873"
"19_20-DiHDoPE-NE","0.367305082475677","0.0438398892424728"
"910-EpOME-To","0.329550255094209","0.980327007028089"
"C200-NEFA","0.652053043724906","0.452250450372429"
"1213-EpOME-To","0.383840708639512","0.90862011101847"
"Per-C170","0.0428751208284762","0.591497294831622"
"1213-EpODE-To","0.504752267163227","0.926008004412192"
"Per-C210","0.689713165817463","0.312121716213226"
"1213-Ep-9-KODE-NE","0.25259008427949","0.296857015465607"
"5_6-DiHETrE-NE","0.771215244119075","0.437111919627237"
"1112-EpETrE-To","0.269494361226686","0.92933468949987"
"5-HETE-NE","0.642805643056945","0.246216480854791"
"Per--C200-NEFA","0.630573141495907","0.0240481665593817"
"C205n3-NEFA","0.395062086278582","0.890186473409657"
"C180-NEFA","0.55527225238975","0.197743090474186"
"9_10-EpO-NE","0.629350167113551","0.998247243062216"
"C180/C160-NEFA","0.400081710212221","0.565007179732448"
"C220","0.186819376538255","0.760213267741789"
"1617-EpDPE-To","0.0712420931683772","0.366409828661799"
"1516-EpODE-To","0.33677973818834","0.892399621428976"
"12_13-DiHOME-To","0.597712230421064","0.823280802103563"
"1415-EpETrE-To","0.256451703262936","0.743226348220786"
"Sum-TriHOME-To","0.904062648841594","0.567156737452736"
"13-HODE-NE","0.150806594049716","0.695264103648526"
"13-HODE-To","0.658500231502536","0.527558989032233"
"9-HODE-To","0.863387463293174","0.568757319643962"
"Per--Sum-SFA-NEFA","0.445571049795391","0.890893193350342"
"PGF2a-NE","0.0199166838342933","0.538041908848228"
"Per-C184n3","0.625028400720469","0.828984296057499"
"C204n6/C203n6","6.38066180865492e-05","0.38173281674038"
"1213-Ep-9-KODE-To","0.489202499533872","0.617813301461331"
"13-KODE-To","0.479313524255485","0.532006251507467"
"Sum-SFA-NEFA","0.733911507037104","0.146870023910569"
"13-HOTE-To","0.825784690976287","0.372657030899751"
