Type,pfa,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
Diol To-PP-F sum,ALA,2.7179,4.851,13.222,7.2926,-0.647,0.866,8.867,3.2345,4.4179,4.006
Diol NE-PP sum,ALA,3.3351,3.432,11.55,2.134,0.4226,2.8134,3.627,4.988,3.591,4.837
Diol NE-F sum,ALA,0.0937,3.18,8.77,0.143,0.931,0.305,0.715,0.274,0.179,0.215
Diol NE-PP-F sum,ALA,3.2414,0.252,2.78,1.991,-0.5084,2.5084,2.912,4.714,3.412,4.622
Epoxide To-PP sum,EPA,3.13,2.491,3.325,1.648,2.094,6.45,6.62,2.269,6.57,2.94
Epoxide To-F sum,EPA,5.3,21.32,4.998,6.77,7.78,6.17,21.68,2.48,1.859,6.43
Epoxide To-PP-F sum,EPA,-2.17,-18.829,-1.673,-5.122,-5.686,0.28,-15.06,-0.211,4.711,-3.49
Epoxide NE-PP sum,EPA,0,0,0,0,0,0,0,0,0,0
Epoxide NE-F sum,EPA,0,0,0,0,0,0,0,0,0,0
Epoxide NE-PP-F sum,EPA,0,0,0,0,0,0,0,0,0,0
Diol To-PP sum,EPA,1.086,1.244,0.49,0.486,1.096,0.738,1.385,1.249,1.129,1.266
Diol To-F sum,EPA,0.807,3.34,1.524,0.619,2.057,0.579,6.103,0.689,0.786,1.427
Diol To-PP-F sum,EPA,0.279,-2.096,-1.034,-0.133,-0.961,0.159,-4.718,0.56,0.343,-0.161
Diol NE-PP sum,EPA,0,0,0,0,0,0,0,0,0,0
Diol NE-F sum,EPA,0.0217,0.376,0.451,0.0996,0.0373,0.00803,0.225,0.0107,0.0186,0.00903
Diol NE-PP-F sum,EPA,-0.0217,-0.376,-0.451,-0.0996,-0.0373,-0.00803,-0.225,-0.0107,-0.0186,-0.00903
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,s,,,,,,
