Oxylipin,Class,Type,Parent FA,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
Label,,,,Anti,Anti,Anti,Anti,Anti,Pro,Pro,Pro,Pro,Pro
1516-EpODE-NE-F,Epoxides,15_16,aLA,-2.547931769,1.925999419,1.722466024,-4.82418799,0.97819563,-0.763660461,1.914564523,3.786596362,-0.803392956,0.59454855
1516-EpODE-NE-PP,Epoxides,15_16,aLA,2.039138394,1.752748591,3.87774425,2.500802053,0.35614381,0.367371066,1.879705766,2.792855352,2.389566812,3.039138394
1516-EpODE-To-F,Epoxides,15_16,aLA,4.584962501,6.64385619,4.504620392,5.09592442,5.741466986,4.465974465,5.491853096,4.044394119,3.221877081,5.605849867
1516-EpODE-To-PP,Epoxides,15_16,aLA,5.937815169,5.572889668,7.50779464,5.54225805,4.09592442,5.569855608,5.923624611,6.031218731,6.161887682,6.532940288
1617-EpDPE-To-F,Epoxides,16_17,DHA,3.64385619,4.548436625,2.843983844,3.350497247,3.837943242,2.748461233,3.935459748,3.028569152,2.555816155,2.901108243
1617-EpDPE-To-PP,Epoxides,16_17,DHA,2.784503983,1.678071905,2.803227036,2.316145742,2.560714954,2.283921772,1.673556424,2.124328135,4.277984747,2.263034406
1718-EpETE-To-F,Epoxides,17_18,EPA,1.555816155,3.776103988,2.084064265,2.244887059,2.192194165,2.021479727,3.722466024,0.555816155,-0.020340448,2.286881148
1718-EpETE-To-PP,Epoxides,17_18,EPA,0.963474124,0.739848103,1.310340121,0.432959407,0.555816155,2.220329955,2.333423734,0.622930351,2.032100843,0.799087306
19_20-DiHDoPE-NE-F,Diols,19_20,DHA,-5.122805429,-2.857259827,-0.974262439,-6.15842926,-5.22701642,-5.442222291,-4.744680545,-4.904008069,-4.457989635,-5.392894581
19_20-DiHDoPE-NE-PP,Diols,19_20,DHA,-5.454822327,-8.066607215,-3.493296511,-6.89711319,-9.315011604,-5.512925278,-4.721658327,-5.210896755,-3.886832939,-4.316168818
19_20-DiHDoPE-To-F,Diols,19_20,DHA,-4.377819287,-2.23786383,-4.056491193,-2.671163535,-2.40354186,-6.792656605,-1.671163536,-3.762191567,-2.573466861,-4.411195424
19_20-DiHDoPE-To-PP,Diols,19_20,DHA,-4.282087823,-13.70880676,-3.224317297,-4.917024954,-2.888968687,-4.869859848,-2.582079991,-4.791857337,-2.652901329,-4.205563331
5_15-DiHETE-To-F,Diols,5_15,EPA,-1.473931188,1,-1.816037165,-3.132894269,-1.067938829,-1.826232932,-1.275786313,-2.293358942,-1.426625473,-1.181149439
5_15-DiHETE-To-PP,Diols,5_15,EPA,-0.621488377,-0.795859283,-2.473931188,-1.98279071,-1.190997225,-1.926865295,-1.110915901,-1.867752201,-0.614845103,-1.577766999
5_6-DiHETrE-NE-F,Diols,5_6,AA,-1.046921047,1.98550043,-0.621488377,-1.461958547,0.097610797,-3.058893688,-1.095419565,-0.59946207,-2.490050853,-1.254977851
5_6-DiHETrE-NE-PP,Diols,5_6,AA,-2.171368418,-2.336427664,-2.064917476,-3.534495628,-1.943416471,-2.556393348,-3.3075728,-1.543719518,-1.746615764,-1.751465164
5_6-DiHETrE-To-F,Diols,5_6,AA,1.86393845,3.584962501,2.169925001,1.584962501,2.720278465,0.5360529,2.94673086,1.735522177,1.257010618,2.592158002
5_6-DiHETrE-To-PP,Diols,5_6,AA,1.438292852,1.176322773,1.655351829,0.389566812,1.570462931,0.650764559,1.097610797,1.550900665,2.073820233,2.017921908
8_9-DiHETrE-NE-F,Diols,8_9,AA,-4.411195424,-0.413115187,-2.965784283,-2.826232931,-4.925768587,-3.840629149,-2.727379544,-3.787866489,-2.426625473,-3.617056127
8_9-DiHETrE-NE-PP,Diols,8_9,AA,-3.995390742,-7.280965063,-2.785875194,-4.148161021,-1.867752201,-4.282087823,-2.625934281,-2.836501267,-4.163591061,-3.132894269
8_9-DiHETrE-To-F,Diols,8_9,AA,0.432959407,2.648465443,1.695993813,0.704871964,1.757023247,0.124328135,1.835924074,1.049630768,0.918386234,1.769771739
8_9-DiHETrE-To-PP,Diols,8_9,AA,0.773996325,0.084064265,0.871843649,0.422233001,0.970853654,0.545968369,0.378511623,0.555816155,0.807354922,0.815575429
89-EpETrE-To-F,Epoxides,8_9,AA,3.867896464,4.584962501,3.286881148,3.62058641,3.963474124,2.754887502,3.295723025,2.983677695,1.815575429,3.944858446
89-EpETrE-To-PP,Epoxides,8_9,AA,3.560714954,2.028569152,3.584962501,2.204766751,1.744161096,3.010779839,1.803227036,3.106013238,3.498250868,3.733354341
9_10-DiHODE-NE-PP,Diols,9_10,aLA,-6.049307552,-2.23786383,0.070389328,-4.506352656,-5.828280696,-3.583808803,-2.867752201,-2.13289427,-2.177881725,-2.343732465
9_10-DiHODE-To-F,Diols,9_10,aLA,-5.316168794,-0.839079812,-3.210896781,-3.601211849,-0.514573173,-3.035046946,-0.803392956,-3.671163533,-3.678533638,-2.224317298
9_10-DiHODE-To-PP,Diols,9_10,aLA,-0.569179503,0.495695163,1.794935663,0.214124805,-0.880975897,-1.415037499,1.298658316,-0.390245038,0.214124805,0.201633861
9_10-DiHOME-NE-F,Diols,9_10,LA,-13.70880676,-0.110915901,1.63691458,-4.408129121,-1.621488377,-13.70880676,-3.95232202,-3.58900771,-12.71149921,-3.132894269
9_10-DiHOME-NE-PP,Diols,9_10,LA,-0.66428809,0.176322773,2.724650272,-1.017417053,-2.473931188,-0.710755715,0.014355293,0.464668267,0.485426827,0.321928095
9_10-DiHOME-To-F,Diols,9_10,LA,-0.214240226,2.49057013,0.22650853,-0.298672743,3.548436625,-0.382701517,1.843983844,-0.309359421,-0.219269963,0.933572638
9_10-DiHOME-To-PP,Diols,9_10,LA,2.211012193,2.939226578,4.498250868,2.575312331,2.032100843,0.97819563,3.837943242,2.17951105,2.989139007,3.122672719
910-EpODE-To-F,Epoxides,9_10,aLA,4.201633861,6.253611152,4.061776198,4.842978832,4.66106548,4.232660757,5.28169825,3.608809243,2.95419631,5.100136671
910-EpODE-To-PP,Epoxides,9_10,aLA,4.10433666,3.560714954,5.581953751,3.632268215,2.709290636,4.277984747,3.797012978,3.99095486,4.94016675,4.678071905
910-EpOME-NE-F,Epoxides,9_10,LA,2.891419187,2.893362211,1.941106311,1.416839742,1.244887059,0.056583528,0.622930351,3.378511623,2.469885976,0.739848103
910-EpOME-NE-PP,Epoxides,9_10,LA,2.339137385,1.589763487,3.776103988,2.545968369,0.782408565,2.627606838,2.220329955,2.627606838,2.310340121,2.321928095
910-EpOME-To-F,Epoxides,9_10,LA,7.700439718,9.011227255,7.238404739,7.392317423,7.672425342,7.087462841,7.417852515,6.882643049,6.201633861,7.906890596
910-EpOME-To-PP,Epoxides,9_10,LA,7.434628228,6.700439718,8.388017285,6.498250868,6.020146573,7.339850003,6.330916878,7.159871337,7.888743249,7.707359132
