Time,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
Phenotype,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Anti,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro,Pro
Sample ID,0,1,2,3,4,0,1,2,3,4,5,6,7,8,9,5,6,7,8,9
Label,D229,D360,D384,D391,D75,D229.1,D360.1,D384.1,D391.1,D75.1,D274,D34,D356,D368,D370,D274.1,D34.1,D356.1,D368.1,D370.1
C225n3/C205n3,1.03657578,0.58269582,0.83114758,0.74997308,-0.40835159,0.92806978,0.29804882,0.54836539,1.40572822,-0.04736273,0.28262594,-0.98827327,0.71186079,0.37155313,0.73277446,-0.45128983,-1.49591393,0.33118087,0.21512665,0.53324761
14_15-DiHETrE-NE,-7.655443,-4.490051,-2.152003,-6.859771,-5.020926,-6.243318,-7.514243,-3.781901,-9.352244,-9.047392,-6.380822,-5.92139,-5.93016,-6.813601,-6.097888,-5.622376,-6.368849,-4.974829,-6.345198,-6.058894
9_10-e-DiHO-To,2.815575,4.314697,3.472488,2.641546,3.498251,3.364572,3.294253,4.906891,3.392317,3.182692,2.613532,3.051372,2.729009,2.733354,2.739848,2.93546,3.620586,3.419539,4.044394,3.786596
C210,-1.3077195,0.2693496,3.5065084,-1.7119244,-0.2910275,-0.3467198,-1.780162,-0.7607716,1.334713,-0.489834,-0.1555303,-1.0074004,-1.0438811,-2.8290616,-1.0942371,-1.946169,-0.3453218,-0.7328779,-0.4786353,-0.3846377
19_20-DiHDoPE-NE,-5.1228054,-2.8572598,-0.9742624,-6.1584293,-5.2270164,-5.4548223,-8.0666072,-3.4932965,-6.8971132,-9.3150116,-5.4422223,-4.7446805,-4.9040081,-4.4579896,-5.3928946,-5.5129253,-4.7216583,-5.2108968,-3.8868329,-4.3161688
910-EpOME-To,7.70044,9.011227,7.238405,7.392317,7.672425,7.434628,6.70044,8.388017,6.498251,6.020147,7.087463,7.417853,6.882643,6.201634,7.906891,7.33985,6.330917,7.159871,7.888743,7.707359
C200-NEFA,-2.1402239,-2.432094,-1.4908536,-2.4886693,-0.8594677,-2.2079336,-2.3582249,-2.1262832,-1.7861842,-2.1688759,-2.3525054,-2.0201431,-2.0198082,-2.9135829,-2.4052968,-1.4629839,-1.6619694,-1.629522,-2.6320802,-2.5445169
1213-EpOME-To,7.199672,8.738092,6.820179,7.022368,7.357552,6.918863,6.3733,7.960002,5.972693,5.714246,6.432959,6.942515,6.143638,5.990955,7.451211,6.870365,5.968091,6.464342,7.599913,7.087463
Per-C170,-1.685014,-2.077041,-1.384584,-1.862496,-1.795859,-1.547932,-1.666576,-1.625934,-1.72738,-2,-2.12658,-2.506353,-1.883635,-1.603841,-2.351074,-1.826233,-2.011588,-1.800877,-1.708396,-1.943416
1213-EpODE-To,2.641546,4.419539,3.056584,3.094236,3.321928,2.803227,2.682573,4.321928,2.771886,1.510962,2.639232,3.269033,2.07382,1.62293,3.350497,2.759156,2.541019,3.139142,3.300124,3.419539
