Parent Fatty Acid,To P-value,NE P-Value,To r^2,NE r^2,To Pearsons,NE Perasons
LA,0.578013917668,0.578013917668,0.0403253281529,0.0403253281529,0.200811673348,0.200811673348
DHA,0.707222836714,0.707222836714,0.0214040146701,0.0214040146701,0.1463011096,0.1463011096
aLA,0.170633125083,0.170633125083,0.220751368041,0.220751368041,0.469841854289,0.469841854289
EPA,0.134186783784,0.134186783784,0.257679596445,0.257679596445,0.507621509044,0.507621509044
